Veleka Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.06796430690131, 27.970986484433524	5.7	8.5	7.5	8.9	4	8.5	1.5	7.5	8.5	1.5	0	0	9	8.8	1.5	9.3
Butamyata Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.05470989955781, 27.986521839047782	5.2	8	7.5	5	3.5	9	2.5	8.5	8	1.6	0	1	8.5	6	0	9
Lipite Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.04712560497182, 27.991104125976562	4.4	8	6	7	7.5	0	1.5	8.5	8	1.5	0	0	8.5	8	1	1
Listi Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.03380309645916, 28.00446045359422	4.5	7.5	5.5	7.5	8.5	0	2	8.5	7	1.5	0	0	8.5	8.5	2	1
Silistar Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.02245445317188, 28.00978195562493	5	8.5	8	8.5	5	2.5	3	8.5	8.5	2	0	1.5	9.5	9.2	0	0
Ahtopol Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.101534001006875, 27.92987358465325	5	7.5	7.5	4	1	9	2	7.5	5	1.5	0	0	8	5	8.5	9
Nestinarka Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.15767731234958, 27.86695968999993	4.6	8	8	4	3.5	8.5	2	7	6	1.5	0	0	7	5	0	9
Varvara Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.12776586721202, 27.90747177627054	4.5	5	6	6.5	6	1	3	8.5	3.5	2	0	2	9	7.5	1	7
Arapya Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.18852856245204, 27.83700477972161	4.5	7.5	4	6	0.5	6	1.5	4	7	1	0	1	8	5	7.5	8.5
Oazis Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.20073768278164, 27.818894504453056	5.4	8	8	4	5.5	9	2	8.5	7.5	1	0	0	7	6	7	7.5
Coral Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.216885708875864, 27.79005539312493	5.5	8	7	6.6	5	7.5	2.5	7.5	7.5	1	0	0	5	7.5	8	8.8
Lozenets Beach	Europe	Bulgaria	Bourgas	Tsarevo	NULL	NULL	Black Sea	42.20061051702569, 27.81906616583001	4.4	8	7	3.5	1	9	2	7	8.5	1	0	0	5	5	0	9
Kiten - South Beach	Europe	Bulgaria	Bourgas	Primorsko	NULL	NULL	Black Sea	42.230805296352735, 27.77646088390611	4.8	8.5	7	4	0.5	9	2.5	7.5	9.5	1	0	0	3	6	5	9
Atliman Beach	Europe	Bulgaria	Bourgas	Primorsko	NULL	NULL	Black Sea	42.24110000474868, 27.769594428827986	4.3	7.7	5.1	5.1	1.3	7.7	2.5	6.7	8.6	1.1	0	0.2	2.6	6.9	0	8.7
